Flight_Distance,Dep_Arr_Time_Convenient,Departure_Delay_Minutes,Arrival_Delay_Minutes,Overall_Satisfaction
471,5,0,0,neutral or dissatisfied
3823,2,1,0,satisfied
282,5,9,1,satisfied
544,5,0,0,neutral or dissatisfied
2955,3,0,0,satisfied
2806,1,0,4,satisfied
587,4,0,0,neutral or dissatisfied
2073,3,6,0,satisfied
1249,4,25,6,neutral or dissatisfied
284,5,34,35,neutral or dissatisfied
946,2,2,0,neutral or dissatisfied
3947,4,25,16,neutral or dissatisfied
895,5,40,25,satisfied
1634,2,90,77,neutral or dissatisfied
588,1,0,0,neutral or dissatisfied
2533,5,0,0,satisfied
641,4,0,0,neutral or dissatisfied
581,4,1,3,neutral or dissatisfied
223,2,0,0,neutral or dissatisfied
326,0,0,0,satisfied
599,1,0,0,neutral or dissatisfied
2075,5,0,0,satisfied
964,5,1,3,satisfied
599,4,8,0,neutral or dissatisfied
3138,1,0,0,satisfied
251,5,0,4,neutral or dissatisfied
1119,5,0,0,neutral or dissatisfied
337,0,0,0,satisfied
759,2,23,94,neutral or dissatisfied
2344,2,0,0,satisfied
296,0,0,0,satisfied
1005,4,168,163,neutral or dissatisfied
580,3,18,16,satisfied
359,3,0,0,neutral or dissatisfied
1217,4,0,0,satisfied
384,5,96,102,satisfied
2586,5,45,42,neutral or dissatisfied
2903,1,0,1,neutral or dissatisfied
3170,5,16,0,satisfied
1276,2,35,49,neutral or dissatisfied
825,4,0,4,satisfied
2204,5,6,0,satisfied
3464,1,0,0,satisfied
562,3,0,0,satisfied
404,1,0,0,satisfied
1199,2,0,15,neutral or dissatisfied
1968,4,0,0,neutral or dissatisfied
2560,5,0,3,satisfied
308,2,0,0,satisfied
362,4,0,0,neutral or dissatisfied
1562,3,2,25,neutral or dissatisfied
129,0,13,9,neutral or dissatisfied
591,4,0,0,neutral or dissatisfied
3692,2,0,0,satisfied
1859,1,16,15,satisfied
986,1,24,32,neutral or dissatisfied
1024,1,13,11,neutral or dissatisfied
919,4,85,72,neutral or dissatisfied
576,2,0,0,satisfied
423,3,6,13,neutral or dissatisfied
1416,2,1,0,satisfied
1464,2,0,0,neutral or dissatisfied
715,4,11,4,satisfied
541,2,86,85,satisfied
293,3,3,0,neutral or dissatisfied
2092,3,26,23,neutral or dissatisfied
1053,4,34,15,neutral or dissatisfied
2521,1,0,2,neutral or dissatisfied
2544,1,0,0,neutral or dissatisfied
158,4,0,0,neutral or dissatisfied
1741,1,0,0,satisfied
2651,4,10,0,satisfied
760,5,102,88,neutral or dissatisfied
1036,5,12,9,neutral or dissatisfied
2586,3,0,0,neutral or dissatisfied
1081,1,4,0,neutral or dissatisfied
646,4,1,0,neutral or dissatisfied
308,3,0,0,neutral or dissatisfied
227,5,0,0,satisfied
1754,3,33,28,neutral or dissatisfied
2176,3,5,0,satisfied
271,0,0,0,satisfied
1522,2,0,0,satisfied
325,5,0,0,satisfied
3217,2,19,16,satisfied
1491,3,15,14,satisfied
331,4,0,0,neutral or dissatisfied
371,2,35,30,neutral or dissatisfied
727,5,0,0,neutral or dissatisfied
1249,5,40,44,neutral or dissatisfied
2614,2,0,9,satisfied
951,3,57,41,neutral or dissatisfied
2498,3,0,0,satisfied
545,5,14,20,neutral or dissatisfied
1838,5,0,0,neutral or dissatisfied
3724,3,19,7,satisfied
280,2,0,6,neutral or dissatisfied
641,1,0,0,satisfied
488,5,0,0,neutral or dissatisfied
1237,4,6,0,neutral or dissatisfied
1062,1,0,0,neutral or dissatisfied
2699,2,0,3,satisfied
679,1,51,71,satisfied
423,4,0,5,neutral or dissatisfied
4817,4,0,19,satisfied
3833,3,0,3,satisfied
2559,5,0,0,satisfied
373,4,0,0,neutral or dissatisfied
2279,5,17,79,neutral or dissatisfied
862,2,0,0,satisfied
666,3,243,251,neutral or dissatisfied
759,2,0,0,satisfied
2338,4,152,151,neutral or dissatisfied
946,3,0,0,neutral or dissatisfied
772,3,0,0,satisfied
1011,2,0,0,neutral or dissatisfied
257,0,0,1,neutral or dissatisfied
164,3,0,0,neutral or dissatisfied
166,3,17,17,satisfied
2280,4,19,38,satisfied
590,4,0,0,satisfied
1597,2,0,5,satisfied
2264,5,0,0,neutral or dissatisfied
814,5,0,0,satisfied
1024,1,2,0,neutral or dissatisfied
3276,5,0,0,satisfied
2567,2,0,12,satisfied
889,5,38,30,neutral or dissatisfied
1009,2,0,0,neutral or dissatisfied
198,5,42,65,neutral or dissatisfied
1598,3,0,0,satisfied
873,0,57,65,neutral or dissatisfied
1399,4,16,4,satisfied
1145,5,0,10,neutral or dissatisfied
282,4,18,10,satisfied
1076,1,47,62,satisfied
3927,4,0,1,satisfied
507,5,0,0,neutral or dissatisfied
325,3,0,0,satisfied
3404,5,8,0,satisfied
2387,4,33,21,satisfied
192,3,0,1,satisfied
972,2,0,0,neutral or dissatisfied
362,1,0,17,satisfied
1587,1,60,68,satisfied
2611,5,0,0,satisfied
651,5,0,0,neutral or dissatisfied
342,4,0,0,neutral or dissatisfied
1625,5,0,4,satisfied
361,4,0,0,neutral or dissatisfied
3511,5,0,29,neutral or dissatisfied
927,4,0,0,neutral or dissatisfied
3666,4,0,0,satisfied
1187,1,33,40,satisfied
106,2,11,4,satisfied
235,2,24,24,satisfied
965,5,0,0,neutral or dissatisfied
936,4,0,0,neutral or dissatisfied
1558,4,91,93,neutral or dissatisfied
222,1,0,0,satisfied
680,4,2,0,neutral or dissatisfied
641,4,13,1,neutral or dissatisfied
3065,5,0,0,satisfied
3736,1,52,41,neutral or dissatisfied
1024,4,12,5,neutral or dissatisfied
685,4,0,0,neutral or dissatisfied
296,0,19,12,satisfied
337,4,5,0,satisfied
1363,2,238,232,satisfied
189,2,13,11,neutral or dissatisfied
1620,4,7,0,satisfied
552,4,4,0,satisfied
1616,4,2,6,satisfied
646,4,0,0,neutral or dissatisfied
404,4,21,13,neutral or dissatisfied
3601,2,0,0,satisfied
635,2,150,156,satisfied
646,5,13,4,satisfied
317,4,23,14,neutral or dissatisfied
1892,3,0,0,neutral or dissatisfied
612,4,0,0,neutral or dissatisfied
2609,3,0,0,satisfied
1357,3,4,0,neutral or dissatisfied
237,4,3,12,neutral or dissatisfied
2442,2,0,0,satisfied
950,5,0,0,neutral or dissatisfied
2896,1,2,0,satisfied
1537,2,0,0,satisfied
197,3,3,0,neutral or dissatisfied
789,4,0,0,neutral or dissatisfied
541,4,0,0,neutral or dissatisfied
782,2,9,19,neutral or dissatisfied
951,1,0,0,satisfied
563,4,0,0,neutral or dissatisfied
109,3,0,5,neutral or dissatisfied
414,1,1,0,neutral or dissatisfied
502,4,0,0,neutral or dissatisfied
990,4,37,38,satisfied
1192,1,0,32,neutral or dissatisfied
2869,5,0,1,satisfied
401,2,71,117,neutral or dissatisfied
425,4,0,0,satisfied
1095,5,0,0,neutral or dissatisfied
1609,4,12,0,neutral or dissatisfied
1310,1,52,27,neutral or dissatisfied
946,2,0,0,satisfied
3804,2,0,0,satisfied
125,4,47,94,neutral or dissatisfied
429,1,35,29,neutral or dissatisfied
3004,5,5,14,satisfied
1455,2,0,0,neutral or dissatisfied
833,3,0,0,satisfied
1892,1,0,0,neutral or dissatisfied
789,4,0,0,neutral or dissatisfied
2254,3,2,0,satisfied
444,4,12,16,satisfied
522,5,40,26,satisfied
283,4,20,16,neutral or dissatisfied
1529,5,0,0,satisfied
1099,1,51,51,neutral or dissatisfied
2580,5,0,0,satisfied
1262,1,0,0,satisfied
109,1,0,11,satisfied
271,0,100,93,neutral or dissatisfied
2777,5,2,0,satisfied
2865,2,2,0,satisfied
920,4,0,0,neutral or dissatisfied
414,3,2,0,neutral or dissatisfied
2154,3,0,0,satisfied
2349,3,0,0,satisfied
1773,3,0,0,neutral or dissatisfied
802,3,0,0,neutral or dissatisfied
192,2,0,0,neutral or dissatisfied
937,5,0,0,neutral or dissatisfied
1050,0,0,0,neutral or dissatisfied
370,2,3,8,neutral or dissatisfied
413,1,7,14,neutral or dissatisfied
372,5,89,88,neutral or dissatisfied
641,2,7,17,neutral or dissatisfied
528,3,0,0,neutral or dissatisfied
989,4,6,3,neutral or dissatisfied
920,2,0,0,neutral or dissatisfied
853,1,0,0,neutral or dissatisfied
352,5,108,99,neutral or dissatisfied
2690,3,0,0,satisfied
1846,2,62,55,satisfied
2475,1,0,0,satisfied
461,3,141,121,neutral or dissatisfied
622,5,10,11,neutral or dissatisfied
533,5,0,0,neutral or dissatisfied
125,5,0,0,neutral or dissatisfied
1464,2,0,3,neutral or dissatisfied
2355,2,24,0,satisfied
77,1,0,0,satisfied
2563,2,0,0,satisfied
986,2,0,6,neutral or dissatisfied
1750,5,132,117,neutral or dissatisfied
793,4,91,71,satisfied
229,5,0,0,satisfied
1874,3,0,0,neutral or dissatisfied
319,5,0,0,satisfied
2571,3,0,0,satisfied
261,4,87,75,neutral or dissatisfied
557,4,81,63,neutral or dissatisfied
196,4,0,5,neutral or dissatisfied
3934,3,0,0,satisfied
2704,4,60,75,satisfied
2334,4,0,0,satisfied
3848,2,0,0,satisfied
409,5,0,14,neutral or dissatisfied
907,3,19,11,neutral or dissatisfied
262,5,70,55,neutral or dissatisfied
2141,1,0,0,neutral or dissatisfied
859,0,0,0,satisfied
237,1,0,0,neutral or dissatisfied
308,4,91,92,neutral or dissatisfied
3679,2,0,0,satisfied
501,4,0,0,neutral or dissatisfied
550,4,0,0,satisfied
1118,1,0,20,neutral or dissatisfied
3179,1,0,0,satisfied
1085,4,8,11,neutral or dissatisfied
2807,1,0,7,satisfied
3802,0,0,0,satisfied
926,3,26,44,neutral or dissatisfied
192,2,0,0,neutral or dissatisfied
235,5,0,0,neutral or dissatisfied
733,2,0,0,neutral or dissatisfied
814,0,32,12,neutral or dissatisfied
2075,4,0,0,satisfied
2338,4,1,0,neutral or dissatisfied
834,4,14,0,satisfied
1778,4,4,7,satisfied
1052,4,0,0,neutral or dissatisfied
657,2,6,0,satisfied
577,3,0,0,neutral or dissatisfied
449,4,4,0,satisfied
237,5,0,0,neutral or dissatisfied
544,4,0,0,satisfied
2556,4,0,0,satisfied
2475,4,0,0,neutral or dissatisfied
3034,2,8,28,satisfied
366,1,0,0,satisfied
956,1,1,13,neutral or dissatisfied
2218,3,0,0,satisfied
456,1,19,45,satisfied
1892,1,28,45,neutral or dissatisfied
1262,0,9,0,satisfied
3423,3,0,0,satisfied
493,4,0,0,satisfied
163,5,0,0,neutral or dissatisfied
1117,2,7,0,neutral or dissatisfied
2187,2,0,0,satisfied
1342,4,0,0,neutral or dissatisfied
304,5,0,0,neutral or dissatisfied
1750,3,0,7,satisfied
216,4,0,0,neutral or dissatisfied
489,3,8,14,neutral or dissatisfied
370,1,0,0,neutral or dissatisfied
1747,2,132,123,satisfied
773,2,140,129,satisfied
200,1,40,27,neutral or dissatisfied
405,1,0,5,satisfied
1598,5,0,0,satisfied
201,3,0,0,satisfied
2475,3,4,0,satisfied
3935,1,0,25,satisfied
2657,5,8,7,neutral or dissatisfied
292,2,32,29,satisfied
544,2,62,46,satisfied
861,1,0,0,neutral or dissatisfied
271,0,62,84,satisfied
134,5,43,41,neutral or dissatisfied
1276,1,10,0,neutral or dissatisfied
3185,5,0,0,neutral or dissatisfied
451,1,0,2,satisfied
1981,4,0,0,satisfied
1605,5,41,19,neutral or dissatisfied
1005,4,3,0,satisfied
455,1,0,0,neutral or dissatisfied
308,4,2,0,neutral or dissatisfied
812,4,0,0,satisfied
414,0,17,2,neutral or dissatisfied
190,2,0,0,satisfied
1197,5,0,5,satisfied
814,2,25,19,neutral or dissatisfied
1514,3,0,0,neutral or dissatisfied
632,5,9,0,neutral or dissatisfied
213,4,0,0,neutral or dissatisfied
852,5,1,1,neutral or dissatisfied
1056,1,214,210,satisfied
1013,3,0,0,neutral or dissatisfied
575,0,0,8,neutral or dissatisfied
3236,4,0,13,satisfied
2764,5,8,15,satisfied
399,4,0,0,neutral or dissatisfied
408,0,0,0,satisfied
1162,4,0,4,satisfied
1744,1,0,0,neutral or dissatisfied
366,4,63,47,neutral or dissatisfied
368,3,0,0,neutral or dissatisfied
239,1,0,0,satisfied
695,1,7,32,neutral or dissatisfied
1020,4,5,0,satisfied
163,2,0,0,neutral or dissatisfied
125,3,0,0,neutral or dissatisfied
1208,5,1,0,satisfied
667,5,35,35,neutral or dissatisfied
334,4,0,0,neutral or dissatisfied
2046,1,0,62,neutral or dissatisfied
1566,4,0,0,satisfied
445,4,2,0,satisfied
2590,4,0,0,satisfied
2136,4,1,0,satisfied
643,1,0,0,neutral or dissatisfied
1440,2,15,3,neutral or dissatisfied
594,3,0,0,neutral or dissatisfied
296,5,28,51,satisfied
2611,4,17,10,satisfied
867,4,0,0,neutral or dissatisfied
862,5,0,1,neutral or dissatisfied
257,1,6,0,neutral or dissatisfied
2398,2,109,100,satisfied
812,2,38,22,neutral or dissatisfied
2496,4,0,0,satisfied
140,1,71,58,satisfied
3142,4,145,147,satisfied
842,1,0,0,neutral or dissatisfied
861,1,26,14,neutral or dissatisfied
1747,4,10,0,neutral or dissatisfied
302,1,17,3,neutral or dissatisfied
602,4,0,0,satisfied
265,4,97,123,neutral or dissatisfied
283,0,13,8,satisfied
473,1,0,0,satisfied
1253,3,0,0,neutral or dissatisfied
2758,4,0,0,satisfied
3344,5,0,2,satisfied
2565,4,0,0,neutral or dissatisfied
3494,5,1,0,satisfied
780,4,26,23,neutral or dissatisfied
721,4,0,0,neutral or dissatisfied
1440,4,3,0,neutral or dissatisfied
2624,3,0,0,satisfied
493,5,15,0,neutral or dissatisfied
307,4,19,11,satisfied
2864,4,8,0,neutral or dissatisfied
2614,4,9,3,neutral or dissatisfied
2633,2,0,3,satisfied
489,5,0,0,neutral or dissatisfied
3139,3,0,0,neutral or dissatisfied
2139,3,38,25,satisfied
671,1,60,71,satisfied
1578,4,0,0,satisfied
1121,5,0,0,neutral or dissatisfied
2475,3,15,79,neutral or dissatisfied
2454,1,0,0,neutral or dissatisfied
872,3,0,0,neutral or dissatisfied
1979,5,0,29,neutral or dissatisfied
2425,5,2,0,neutral or dissatisfied
1306,5,0,0,neutral or dissatisfied
1694,0,0,0,satisfied
302,5,0,0,neutral or dissatisfied
2048,2,26,23,neutral or dissatisfied
950,5,0,34,neutral or dissatisfied
861,5,0,3,neutral or dissatisfied
467,0,7,0,neutral or dissatisfied
174,3,0,7,neutral or dissatisfied
3218,2,16,16,neutral or dissatisfied
143,2,12,2,satisfied
255,0,0,2,satisfied
284,4,0,0,neutral or dissatisfied
404,4,7,0,neutral or dissatisfied
279,0,10,0,satisfied
1884,1,0,0,satisfied
594,3,0,0,neutral or dissatisfied
237,3,93,123,neutral or dissatisfied
849,5,0,0,satisfied
3136,4,56,61,satisfied
991,1,3,0,neutral or dissatisfied
2133,5,26,18,satisfied
3925,5,0,0,satisfied
319,1,0,0,neutral or dissatisfied
157,5,30,49,satisfied
543,1,48,42,neutral or dissatisfied
2778,2,114,95,satisfied
3882,5,1,0,satisfied
2556,2,4,10,satisfied
209,5,0,2,satisfied
936,3,0,0,satisfied
236,2,5,0,neutral or dissatisfied
129,4,0,0,neutral or dissatisfied
2846,4,0,0,neutral or dissatisfied
247,5,5,0,satisfied
2187,4,277,275,satisfied
522,0,0,0,satisfied
1576,5,0,0,neutral or dissatisfied
1756,2,9,40,neutral or dissatisfied
583,2,1,0,neutral or dissatisfied
3548,1,0,8,satisfied
944,4,0,0,satisfied
522,4,10,6,neutral or dissatisfied
1013,2,9,29,neutral or dissatisfied
304,4,0,2,neutral or dissatisfied
2234,1,0,0,satisfied
179,3,0,0,satisfied
689,5,0,0,neutral or dissatisfied
2317,2,3,9,satisfied
2162,4,22,14,neutral or dissatisfied
1754,3,0,0,satisfied
391,3,0,0,neutral or dissatisfied
175,4,0,0,neutral or dissatisfied
1379,4,11,4,neutral or dissatisfied
2300,4,23,46,neutral or dissatisfied
201,1,8,14,neutral or dissatisfied
200,3,18,79,satisfied
594,5,0,0,satisfied
358,2,0,0,neutral or dissatisfied
950,5,14,8,neutral or dissatisfied
1561,5,0,0,satisfied
427,4,0,0,neutral or dissatisfied
1663,3,0,0,satisfied
526,0,0,57,neutral or dissatisfied
965,1,0,0,neutral or dissatisfied
2677,0,0,0,satisfied
2454,1,0,0,neutral or dissatisfied
2159,0,0,0,satisfied
762,5,51,0,neutral or dissatisfied
1024,2,37,55,satisfied
2748,3,15,7,neutral or dissatisfied
946,5,0,0,satisfied
3489,4,0,0,satisfied
589,5,9,0,satisfied
554,4,0,0,neutral or dissatisfied
731,0,10,19,satisfied
1111,3,0,0,satisfied
174,5,0,0,neutral or dissatisfied
1576,4,0,0,neutral or dissatisfied
1217,0,0,0,neutral or dissatisfied
1066,1,129,119,neutral or dissatisfied
1827,3,0,0,satisfied
1216,1,0,2,neutral or dissatisfied
191,1,24,18,neutral or dissatisfied
2920,1,9,1,satisfied
368,3,5,5,satisfied
1981,3,10,6,neutral or dissatisfied
802,4,0,0,satisfied
307,4,0,6,neutral or dissatisfied
1618,1,0,7,neutral or dissatisfied
2061,4,0,0,satisfied
2635,5,0,0,satisfied
89,3,0,11,satisfied
587,5,0,0,satisfied
1897,1,0,0,satisfied
632,1,0,0,neutral or dissatisfied
1463,5,0,0,neutral or dissatisfied
569,4,33,28,neutral or dissatisfied
763,3,0,34,satisfied
454,3,0,1,satisfied
631,0,16,16,neutral or dissatisfied
455,5,0,0,neutral or dissatisfied
1121,5,6,4,neutral or dissatisfied
721,3,26,16,neutral or dissatisfied
239,0,0,1,satisfied
874,2,0,0,neutral or dissatisfied
447,5,0,0,neutral or dissatisfied
550,4,25,18,satisfied
1947,4,493,485,satisfied
2402,4,0,0,satisfied
399,2,0,0,satisfied
446,4,1,0,neutral or dissatisfied
829,1,28,27,satisfied
2935,5,3,2,satisfied
760,2,72,60,neutral or dissatisfied
1975,2,0,0,neutral or dissatisfied
3529,4,0,0,satisfied
1440,5,26,31,satisfied
3490,3,0,0,satisfied
756,3,9,0,satisfied
1149,3,6,57,neutral or dissatisfied
236,1,0,0,neutral or dissatisfied
1249,2,0,0,neutral or dissatisfied
1166,1,5,0,neutral or dissatisfied
189,3,1,2,neutral or dissatisfied
650,4,0,0,satisfied
765,1,0,0,neutral or dissatisfied
1105,4,6,0,neutral or dissatisfied
592,2,0,0,neutral or dissatisfied
609,4,14,27,neutral or dissatisfied
223,3,0,2,satisfied
3283,5,0,0,satisfied
372,2,13,10,satisfied
1059,4,5,0,satisfied
2923,5,6,0,satisfied
589,5,6,0,neutral or dissatisfied
859,3,0,5,satisfied
802,3,3,7,neutral or dissatisfied
371,5,7,7,neutral or dissatisfied
997,5,41,30,satisfied
134,4,0,0,satisfied
391,3,72,62,neutral or dissatisfied
748,5,0,0,satisfied
3484,1,0,0,satisfied
821,4,0,0,neutral or dissatisfied
480,5,0,0,satisfied
1009,2,0,0,neutral or dissatisfied
328,1,32,28,neutral or dissatisfied
101,1,0,0,neutral or dissatisfied
1008,0,0,0,satisfied
296,2,11,11,neutral or dissatisfied
1624,5,0,0,satisfied
3616,5,0,0,satisfied
1105,4,0,11,neutral or dissatisfied
484,1,4,0,satisfied
1558,4,1,0,neutral or dissatisfied
3632,1,0,0,satisfied
280,4,0,0,neutral or dissatisfied
451,4,0,0,satisfied
2422,2,0,0,satisfied
1076,5,332,336,neutral or dissatisfied
2980,5,0,29,satisfied
1107,3,0,0,satisfied
925,3,11,11,neutral or dissatisfied
1624,4,0,0,satisfied
3995,1,0,0,neutral or dissatisfied
562,3,26,21,satisfied
491,3,15,11,neutral or dissatisfied
534,3,0,0,neutral or dissatisfied
3783,5,0,13,satisfied
2454,1,0,0,satisfied
373,4,0,0,neutral or dissatisfied
213,5,0,0,neutral or dissatisfied
817,1,0,0,satisfied
319,2,14,4,neutral or dissatisfied
301,4,0,0,neutral or dissatisfied
813,1,0,0,satisfied
370,5,9,0,neutral or dissatisfied
368,5,2,7,neutral or dissatisfied
610,4,27,47,satisfied
3801,3,0,0,satisfied
617,2,0,0,satisfied
813,1,7,4,neutral or dissatisfied
468,1,1,12,satisfied
369,4,0,0,satisfied
351,4,0,0,satisfied
313,0,0,21,neutral or dissatisfied
214,1,0,0,neutral or dissatisfied
304,4,13,6,neutral or dissatisfied
594,4,36,52,neutral or dissatisfied
393,1,14,17,neutral or dissatisfied
1670,2,125,128,neutral or dissatisfied
833,4,0,0,satisfied
118,4,0,0,neutral or dissatisfied
316,5,55,48,neutral or dissatisfied
223,5,32,46,neutral or dissatisfied
740,3,0,0,neutral or dissatisfied
100,3,0,0,neutral or dissatisfied
3207,3,102,97,satisfied
236,3,3,0,neutral or dissatisfied
550,4,18,13,neutral or dissatisfied
491,2,13,29,neutral or dissatisfied
3892,2,1,0,neutral or dissatisfied
562,3,12,11,satisfied
1009,5,0,0,satisfied
2068,2,0,0,neutral or dissatisfied
3923,3,1,0,neutral or dissatisfied
1547,2,34,18,satisfied
347,3,0,0,neutral or dissatisfied
199,4,0,0,neutral or dissatisfied
212,4,9,11,neutral or dissatisfied
223,1,0,5,neutral or dissatisfied
539,5,0,0,neutral or dissatisfied
1262,4,0,0,neutral or dissatisfied
3984,2,12,4,satisfied
1044,4,15,12,neutral or dissatisfied
3090,1,10,4,neutral or dissatisfied
1235,5,0,0,satisfied
383,3,0,0,neutral or dissatisfied
874,2,0,12,neutral or dissatisfied
697,5,0,0,neutral or dissatisfied
312,4,29,29,neutral or dissatisfied
1084,1,0,0,neutral or dissatisfied
861,1,0,0,satisfied
129,4,0,3,neutral or dissatisfied
189,4,1,2,neutral or dissatisfied
299,5,136,156,neutral or dissatisfied
196,2,0,0,satisfied
460,5,0,0,satisfied
605,0,0,0,satisfied
937,5,0,0,neutral or dissatisfied
1846,4,40,46,neutral or dissatisfied
404,1,31,20,satisfied
1334,5,3,0,neutral or dissatisfied
473,5,14,5,neutral or dissatisfied
2486,2,0,14,neutral or dissatisfied
1797,3,60,55,satisfied
282,4,64,69,satisfied
472,4,11,0,satisfied
191,5,8,0,satisfied
1008,2,0,0,neutral or dissatisfied
1337,5,0,0,satisfied
592,4,0,0,satisfied
