Passenger_ID,Gender,Customer_Type,Age,Travel_Type,Travel_Class,Flight_Distance,Inflight_WiFi,Dep_Arr_Time_Convenient,Online_Booking,Gate_Location,Food_Drink,Online_Boarding,Seat_Comfort,Inflight_Entertainment,Onboard_Service,Leg_Room,Baggage_Handling,CheckIn_Service,Inflight_Service,Cleanliness,Departure_Delay_Minutes,Arrival_Delay_Minutes,Overall_Satisfaction,Departure_Delay,Arrival_Delay,Avg_Sat_Score,Customer_Sat
16112,Male,Disloyal ,24,Business ,Eco,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4,satisfied,No,Yes,2.93,Neutral
16172,Male,Loyal ,22,Business ,Business,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177,neutral or dissatisfied,Yes,Yes,3.00,Neutral
106558,Female,Loyal ,28,Business ,Business,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3,satisfied,No,Yes,3.29,Neutral
11536,Female,Loyal ,36,Business ,Eco Plus,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55,neutral or dissatisfied,Yes,Yes,2.43,Neutral
47773,Female,Loyal ,62,Business ,Eco,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90,satisfied,Yes,Yes,3.36,Neutral
70521,Female,Loyal ,60,Business ,Business,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0,satisfied,No,No,3.86,Neutral
96283,Female,Loyal ,59,Personal ,Eco,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2,neutral or dissatisfied,Yes,Yes,3.43,Neutral
117993,Female,Loyal ,49,Business ,Business,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4,satisfied,No,Yes,4.21,Satisfied
74703,Female,Loyal ,44,Personal ,Eco,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0,neutral or dissatisfied,No,No,3.14,Neutral
110840,Female,Loyal ,58,Personal ,Eco Plus,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0,neutral or dissatisfied,No,No,2.79,Neutral
88249,Male,Disloyal ,24,Business ,Business,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32,satisfied,Yes,Yes,3.07,Neutral
125877,Female,Loyal ,53,Business ,Eco,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0,satisfied,Yes,No,3.29,Neutral
83968,Male,Loyal ,56,Business ,Eco,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0,neutral or dissatisfied,No,No,2.71,Neutral
122719,Female,Loyal ,30,Business ,Business,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0,satisfied,No,No,4.21,Satisfied
3949,Male,Disloyal ,27,Business ,Business,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46,neutral or dissatisfied,Yes,Yes,2.36,Neutral
45542,Male,Loyal ,27,Business ,Business,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0,satisfied,No,No,3.36,Neutral
43742,Female,Loyal ,67,Personal ,Eco,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0,neutral or dissatisfied,No,No,3.21,Neutral
122093,Female,Loyal ,32,Personal ,Eco,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4,neutral or dissatisfied,Yes,Yes,3.21,Neutral
121454,Male,Disloyal ,36,Business ,Eco,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0,neutral or dissatisfied,No,No,1.86,Dissatisfied
738,Male,Loyal ,44,Business ,Business,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57,satisfied,Yes,Yes,4.00,Satisfied
75235,Female,Loyal ,70,Personal ,Eco,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0,neutral or dissatisfied,No,No,3.36,Neutral
88653,Female,Loyal ,55,Personal ,Eco,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3,neutral or dissatisfied,No,Yes,3.79,Neutral
26594,Male,Loyal ,66,Business ,Eco,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6,satisfied,Yes,Yes,2.93,Neutral
38339,Female,Loyal ,19,Business ,Business,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0,satisfied,No,No,3.57,Neutral
46063,Female,Loyal ,53,Personal ,Eco Plus,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0,neutral or dissatisfied,Yes,No,3.43,Neutral
27957,Male,Loyal ,22,Business ,Business,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0,neutral or dissatisfied,No,No,2.36,Neutral
17270,Female,Loyal ,69,Personal ,Eco,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0,neutral or dissatisfied,Yes,No,3.29,Neutral
87976,Female,Loyal ,42,Business ,Business,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47,satisfied,Yes,Yes,4.64,Satisfied
31640,Female,Loyal ,41,Business ,Business,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40,satisfied,Yes,Yes,3.43,Neutral
41461,Female,Loyal ,53,Personal ,Business,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0,neutral or dissatisfied,Yes,No,2.93,Neutral
15143,Male,Loyal ,35,Business ,Business,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0,neutral or dissatisfied,No,No,2.71,Neutral
78136,Female,Loyal ,54,Personal ,Business,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0,neutral or dissatisfied,No,No,3.36,Neutral
120433,Male,Loyal ,44,Business ,Business,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24,satisfied,Yes,Yes,3.50,Neutral
41440,Female,Disloyal ,26,Business ,Eco Plus,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0,neutral or dissatisfied,No,No,2.50,Neutral
15963,Female,Loyal ,44,Personal ,Eco,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0,neutral or dissatisfied,No,No,3.64,Neutral
64303,Female,Disloyal ,24,Business ,Eco,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27,neutral or dissatisfied,Yes,Yes,4.00,Satisfied
3608,Female,Loyal ,54,Personal ,Eco,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0,neutral or dissatisfied,No,No,4.07,Satisfied
7744,Male,Loyal ,42,Business ,Eco Plus,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0,neutral or dissatisfied,No,No,2.21,Neutral
21276,Male,Disloyal ,36,Business ,Eco,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0,neutral or dissatisfied,No,No,1.71,Dissatisfied
58576,Female,Loyal ,61,Business ,Business,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20,satisfied,Yes,Yes,2.86,Neutral
53888,Female,Loyal ,50,Personal ,Eco,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0,neutral or dissatisfied,No,No,3.07,Neutral
10980,Male,Loyal ,27,Business ,Business,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52,satisfied,Yes,Yes,4.00,Satisfied
54151,Male,Loyal ,55,Business ,Business,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0,neutral or dissatisfied,Yes,No,3.36,Neutral
115641,Male,Disloyal ,21,Business ,Eco,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0,neutral or dissatisfied,Yes,No,2.29,Neutral
58584,Female,Loyal ,31,Personal ,Business,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0,neutral or dissatisfied,Yes,No,3.29,Neutral
50472,Female,Disloyal ,37,Business ,Eco,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20,neutral or dissatisfied,Yes,Yes,1.93,Dissatisfied
102623,Female,Loyal ,50,Business ,Business,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0,satisfied,Yes,No,3.71,Neutral
31533,Female,Loyal ,21,Personal ,Eco,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17,neutral or dissatisfied,Yes,Yes,3.21,Neutral
42287,Female,Loyal ,53,Business ,Eco,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0,neutral or dissatisfied,No,No,2.36,Neutral
70467,Male,Loyal ,45,Business ,Business,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11,satisfied,No,Yes,3.93,Neutral
20461,Female,Disloyal ,42,Business ,Eco,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34,neutral or dissatisfied,No,Yes,4.07,Satisfied
113346,Male,Loyal ,59,Business ,Business,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0,satisfied,No,No,3.64,Neutral
115566,Female,Loyal ,54,Business ,Eco,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95,neutral or dissatisfied,Yes,Yes,2.64,Neutral
119896,Female,Loyal ,46,Business ,Business,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0,satisfied,Yes,No,3.07,Neutral
88853,Female,Loyal ,52,Personal ,Eco Plus,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0,neutral or dissatisfied,No,No,2.86,Neutral
24895,Female,Loyal ,38,Personal ,Eco,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0,neutral or dissatisfied,No,No,4.00,Satisfied
31122,Male,Loyal ,35,Business ,Business,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0,satisfied,No,No,3.29,Neutral
91231,Female,Loyal ,41,Personal ,Eco,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0,neutral or dissatisfied,No,No,2.86,Neutral
61426,Female,Disloyal ,40,Business ,Business,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0,neutral or dissatisfied,No,No,3.07,Neutral
68873,Female,Disloyal ,36,Business ,Eco,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0,neutral or dissatisfied,Yes,No,2.71,Neutral
125701,Male,Loyal ,67,Personal ,Eco,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0,neutral or dissatisfied,No,No,3.00,Neutral
94999,Female,Loyal ,38,Personal ,Eco,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0,satisfied,Yes,No,4.00,Satisfied
56694,Female,Loyal ,50,Personal ,Eco,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0,neutral or dissatisfied,No,No,4.14,Satisfied
62010,Male,Loyal ,50,Business ,Business,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0,satisfied,No,No,3.50,Neutral
95868,Male,Loyal ,54,Business ,Business,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66,satisfied,Yes,Yes,4.00,Satisfied
123064,Male,Loyal ,56,Business ,Business,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113,satisfied,Yes,Yes,4.07,Satisfied
103418,Male,Loyal ,38,Personal ,Eco,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,2,neutral or dissatisfied,No,Yes,3.00,Neutral
73456,Female,Loyal ,7,Personal ,Eco,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13,neutral or dissatisfied,Yes,Yes,3.36,Neutral
8851,Female,Loyal ,32,Business ,Business,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0,satisfied,Yes,No,4.36,Satisfied
64241,Male,Loyal ,45,Business ,Eco,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7,neutral or dissatisfied,No,Yes,3.07,Neutral
81723,Male,Disloyal ,25,Business ,Eco,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24,neutral or dissatisfied,No,Yes,2.64,Neutral
88237,Female,Loyal ,45,Business ,Business,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0,satisfied,No,No,4.50,Satisfied
50619,Male,Loyal ,34,Personal ,Eco,209,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,0,neutral or dissatisfied,No,No,2.00,Neutral
54444,Male,Loyal ,20,Personal ,Eco Plus,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2,neutral or dissatisfied,Yes,Yes,2.79,Neutral
64765,Female,Disloyal ,36,Business ,Eco,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,6,neutral or dissatisfied,Yes,Yes,1.79,Dissatisfied
15941,Male,Disloyal ,36,Business ,Eco,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0,neutral or dissatisfied,No,No,2.79,Neutral
14965,Male,Loyal ,27,Business ,Business,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,0,satisfied,No,No,3.07,Neutral
36897,Male,Loyal ,40,Personal ,Eco,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0,neutral or dissatisfied,No,No,3.07,Neutral
127954,Male,Loyal ,31,Business ,Business,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4,satisfied,No,Yes,4.36,Satisfied
27872,Male,Loyal ,25,Business ,Eco Plus,680,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,0,satisfied,No,No,2.07,Neutral
35854,Male,Loyal ,42,Business ,Business,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,0,satisfied,No,No,3.50,Neutral
14527,Female,Loyal ,45,Business ,Eco,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40,satisfied,Yes,Yes,3.07,Neutral
47021,Male,Loyal ,59,Personal ,Business,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11,neutral or dissatisfied,No,Yes,2.50,Neutral
11224,Male,Loyal ,34,Personal ,Eco,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8,neutral or dissatisfied,Yes,Yes,2.86,Neutral
3921,Female,Loyal ,22,Personal ,Eco,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17,neutral or dissatisfied,No,Yes,2.86,Neutral
69463,Male,Loyal ,21,Personal ,Eco,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0,neutral or dissatisfied,No,No,2.43,Neutral
47050,Male,Loyal ,26,Business ,Business,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,10,neutral or dissatisfied,Yes,Yes,2.36,Neutral
21970,Male,Loyal ,37,Business ,Business,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,86,satisfied,Yes,Yes,3.07,Neutral
30046,Male,Loyal ,38,Business ,Business,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0,satisfied,No,No,3.07,Neutral
1256,Female,Loyal ,17,Personal ,Eco,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0,neutral or dissatisfied,No,No,3.86,Neutral
73813,Male,Loyal ,15,Personal ,Eco Plus,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8,neutral or dissatisfied,Yes,Yes,4.07,Satisfied
110928,Female,Loyal ,53,Personal ,Eco,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0,neutral or dissatisfied,No,No,3.64,Neutral
102981,Male,Disloyal ,39,Business ,Business,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,88,neutral or dissatisfied,Yes,Yes,3.43,Neutral
61571,Male,Loyal ,40,Business ,Business,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0,satisfied,No,No,4.07,Satisfied
3796,Female,Disloyal ,28,Business ,Eco Plus,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46,neutral or dissatisfied,No,Yes,2.86,Neutral
73906,Female,Disloyal ,27,Business ,Business,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0,neutral or dissatisfied,Yes,No,3.14,Neutral
74090,Female,Loyal ,41,Business ,Business,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0,satisfied,No,No,4.43,Satisfied
76645,Female,Loyal ,7,Personal ,Eco,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0,neutral or dissatisfied,No,No,4.00,Satisfied
100462,Male,Disloyal ,48,Business ,Business,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1,neutral or dissatisfied,Yes,Yes,3.00,Neutral
54164,Male,Loyal ,13,Business ,Eco,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0,neutral or dissatisfied,No,No,2.21,Neutral
6147,Female,Loyal ,48,Business ,Business,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0,satisfied,No,No,3.71,Neutral
1262,Female,Loyal ,49,Personal ,Eco,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3,neutral or dissatisfied,Yes,Yes,3.36,Neutral
20310,Male,Disloyal ,26,Business ,Business,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0,satisfied,Yes,No,3.50,Neutral
46896,Male,Loyal ,22,Business ,Business,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0,satisfied,No,No,2.86,Neutral
7237,Female,Loyal ,53,Business ,Business,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178,neutral or dissatisfied,Yes,Yes,2.29,Neutral
44293,Female,Loyal ,43,Business ,Eco,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0,satisfied,No,No,4.21,Satisfied
52496,Male,Loyal ,56,Business ,Business,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0,satisfied,No,No,3.21,Neutral
68263,Female,Loyal ,69,Personal ,Eco,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0,neutral or dissatisfied,No,No,3.50,Neutral
5289,Male,Loyal ,59,Personal ,Eco,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0,satisfied,No,No,2.79,Neutral
109359,Female,Loyal ,56,Business ,Business,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0,satisfied,Yes,No,3.50,Neutral
94988,Male,Loyal ,11,Personal ,Eco,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0,satisfied,No,No,3.79,Neutral
53605,Female,Loyal ,25,Business ,Eco,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78,satisfied,Yes,Yes,3.29,Neutral
11005,Female,Disloyal ,29,Business ,Eco,158,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,0,satisfied,No,No,2.36,Neutral
14794,Female,Loyal ,48,Business ,Eco,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0,satisfied,No,No,3.29,Neutral
49480,Female,Loyal ,42,Business ,Business,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0,satisfied,No,No,2.71,Neutral
120440,Male,Disloyal ,15,Business ,Eco,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0,neutral or dissatisfied,No,No,2.86,Neutral
55823,Female,Disloyal ,49,Business ,Business,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0,neutral or dissatisfied,No,No,3.14,Neutral
107792,Male,Loyal ,41,Business ,Business,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18,satisfied,Yes,Yes,3.71,Neutral
80531,Male,Loyal ,43,Business ,Business,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0,satisfied,No,No,2.50,Neutral
128145,Male,Loyal ,60,Business ,Business,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0,satisfied,No,No,4.43,Satisfied
63370,Female,Loyal ,42,Personal ,Eco,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0,satisfied,No,No,2.79,Neutral
12452,Female,Loyal ,8,Personal ,Eco,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0,neutral or dissatisfied,No,No,3.43,Neutral
16145,Female,Loyal ,42,Business ,Eco,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72,satisfied,Yes,Yes,4.21,Satisfied
44418,Male,Disloyal ,18,Business ,Eco Plus,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41,neutral or dissatisfied,Yes,Yes,2.14,Neutral
95746,Male,Loyal ,47,Business ,Business,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0,satisfied,No,No,3.64,Neutral
41134,Female,Disloyal ,27,Business ,Eco,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12,neutral or dissatisfied,Yes,Yes,3.64,Neutral
3214,Female,Loyal ,67,Personal ,Eco Plus,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91,neutral or dissatisfied,Yes,Yes,2.00,Neutral
74101,Male,Disloyal ,38,Business ,Business,641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0,satisfied,No,No,3.79,Neutral
