Passenger_ID,Gender,Age,Online_Booking,Online_Boarding,CheckIn_Service,Dep_Arr_Time_Convenient,Gate_Location,Baggage_Handling,Onboard_Service,Seat_Comfort,Leg_Room,Cleanliness,Food_Drink,Inflight_Entertainment,Inflight_WiFi,Inflight_Service,Avg_Sat_Score,Customer_Sat
78136,Female,54,3,4,4,5,5,2,2,5,3,5,2,2,3,2,3.36,Neutral
120433,Male,44,2,5,3,3,3,4,4,4,4,4,2,4,3,4,3.50,Neutral
41440,Female,26,2,2,1,2,2,1,3,3,2,4,4,4,1,4,2.50,Neutral
15963,Female,44,2,5,3,5,3,5,5,4,2,3,2,5,2,5,3.64,Neutral
64303,Female,24,3,3,4,3,2,5,4,5,5,5,5,5,2,5,4.00,Satisfied
3608,Female,54,2,5,5,4,4,5,5,5,2,4,4,5,2,5,4.07,Satisfied
7744,Male,42,2,2,1,2,2,3,4,2,3,2,2,2,2,2,2.21,Neutral
21276,Male,36,1,1,1,1,4,3,1,1,5,1,1,1,1,2,1.71,Dissatisfied
58576,Female,61,3,1,4,2,2,3,3,5,4,4,1,3,2,3,2.86,Neutral
53888,Female,50,2,4,3,4,4,2,2,5,2,5,4,2,2,2,3.07,Neutral
10980,Male,27,3,5,5,3,3,4,4,5,4,5,5,5,3,2,4.00,Satisfied
54151,Male,55,5,3,1,5,5,3,3,2,3,4,4,3,3,3,3.36,Neutral
115641,Male,21,1,1,4,2,4,3,4,1,4,1,1,1,2,3,2.29,Neutral
58584,Female,31,2,2,2,1,4,3,2,5,4,5,5,5,2,4,3.29,Neutral
50472,Female,37,1,1,4,2,3,3,1,1,4,1,1,1,1,3,1.93,Dissatisfied
102623,Female,50,5,4,4,1,1,5,5,4,5,5,2,5,1,5,3.71,Neutral
31533,Female,21,1,1,4,4,3,5,5,3,4,3,3,3,1,5,3.21,Neutral
42287,Female,53,0,3,4,0,3,4,4,3,1,1,1,4,1,4,2.36,Neutral
70467,Male,45,3,4,3,3,3,5,5,4,5,4,3,5,3,5,3.93,Neutral
20461,Female,42,3,3,5,5,1,3,5,5,5,5,5,5,3,4,4.07,Satisfied
113346,Male,59,3,5,4,3,3,4,4,4,4,3,3,4,3,4,3.64,Neutral
115566,Female,54,4,3,4,1,4,2,2,3,2,1,5,2,2,2,2.64,Neutral
119896,Female,46,1,4,5,1,1,4,4,4,4,4,2,4,1,4,3.07,Neutral
88853,Female,52,3,5,3,4,1,2,2,4,3,4,2,2,3,2,2.86,Neutral
24895,Female,38,2,2,5,5,2,4,5,5,4,5,5,5,2,5,4.00,Satisfied
31122,Male,35,3,4,3,3,3,4,4,3,4,3,1,4,3,4,3.29,Neutral
91231,Female,41,2,2,1,2,3,4,1,4,3,4,4,4,2,4,2.86,Neutral
61426,Female,40,2,2,3,2,3,3,3,4,2,4,4,4,2,5,3.07,Neutral
68873,Female,36,2,2,4,2,1,2,1,4,4,4,4,4,2,2,2.71,Neutral
125701,Male,67,2,2,5,5,2,4,5,2,2,2,2,2,2,5,3.00,Neutral
94999,Female,38,4,4,4,4,4,4,2,5,2,5,5,5,4,4,4.00,Satisfied
56694,Female,50,3,5,3,5,2,5,5,5,3,4,5,5,3,5,4.14,Satisfied
62010,Male,50,5,5,3,5,5,2,2,4,2,5,2,2,5,2,3.50,Neutral
95868,Male,54,3,4,4,5,5,3,3,5,3,5,5,3,5,3,4.00,Satisfied
123064,Male,56,4,5,3,4,4,4,4,4,4,5,4,4,4,4,4.07,Satisfied
103418,Male,38,3,3,4,4,4,4,3,2,3,2,2,2,3,3,3.00,Neutral
73456,Female,7,3,3,5,5,3,4,4,2,4,2,2,2,3,5,3.36,Neutral
8851,Female,32,4,4,5,5,5,5,5,4,2,4,4,4,5,5,4.36,Satisfied
64241,Male,45,1,4,4,1,1,2,2,4,5,4,4,4,4,3,3.07,Neutral
81723,Male,25,2,2,1,2,4,3,1,3,4,3,3,3,2,4,2.64,Neutral
88237,Female,45,5,5,5,5,5,4,4,4,4,5,4,4,5,4,4.50,Satisfied
50619,Male,34,0,0,2,4,1,5,1,1,5,1,1,1,3,3,2.00,Neutral
54444,Male,20,3,3,4,4,3,4,3,1,3,1,1,1,3,5,2.79,Neutral
64765,Female,36,2,2,1,1,3,3,4,1,1,1,1,1,2,2,1.79,Dissatisfied
15941,Male,36,3,3,1,4,4,3,3,2,4,2,2,2,3,3,2.79,Neutral
14965,Male,27,1,5,2,1,1,2,4,5,5,5,5,5,1,1,3.07,Neutral
36897,Male,40,2,2,3,4,4,3,4,3,2,3,3,3,3,4,3.07,Neutral
127954,Male,31,4,5,3,5,4,4,4,5,4,5,5,5,4,4,4.36,Satisfied
27872,Male,25,0,0,5,5,2,4,3,1,1,1,1,1,0,5,2.07,Neutral
35854,Male,42,2,5,4,2,2,5,5,3,5,3,1,5,2,5,3.50,Neutral
14527,Female,45,1,2,1,1,1,5,5,3,5,3,1,5,5,5,3.07,Neutral
47021,Male,59,2,3,2,1,3,3,3,3,2,1,4,3,2,3,2.50,Neutral
11224,Male,34,3,3,3,5,3,1,5,5,2,2,2,2,3,1,2.86,Neutral
3921,Female,22,3,3,3,5,4,1,1,1,5,3,3,3,3,2,2.86,Neutral
69463,Male,21,2,2,2,2,4,3,3,3,1,2,2,2,2,4,2.43,Neutral
47050,Male,26,1,3,2,1,1,4,1,3,2,3,3,3,3,3,2.36,Neutral
21970,Male,37,2,3,1,2,2,4,4,1,4,5,5,4,2,4,3.07,Neutral
30046,Male,38,2,5,1,2,2,4,4,2,4,5,2,4,2,4,3.07,Neutral
1256,Female,17,3,3,5,4,1,5,3,3,4,5,5,5,3,5,3.86,Neutral
73813,Male,15,2,2,5,4,3,5,5,5,4,5,5,5,2,5,4.07,Satisfied
110928,Female,53,3,4,1,3,4,5,5,4,3,2,4,5,3,5,3.64,Neutral
102981,Male,39,4,4,3,4,4,5,3,2,5,2,2,2,4,4,3.43,Neutral
61571,Male,40,4,4,3,3,4,5,5,5,5,3,2,5,4,5,4.07,Satisfied
3796,Female,28,2,2,1,2,3,3,3,4,3,4,4,4,2,3,2.86,Neutral
73906,Female,27,3,3,3,3,4,5,4,2,3,2,2,2,3,5,3.14,Neutral
74090,Female,41,5,5,4,5,5,4,4,5,4,5,3,4,5,4,4.43,Satisfied
76645,Female,7,2,2,5,4,3,5,5,5,4,5,5,5,2,4,4.00,Satisfied
100462,Male,48,3,3,4,3,2,5,4,2,2,2,2,2,3,5,3.00,Neutral
54164,Male,13,1,1,3,1,1,3,4,2,3,2,2,2,2,4,2.21,Neutral
6147,Female,48,3,4,3,3,3,4,4,4,4,5,4,4,3,4,3.71,Neutral
1262,Female,49,3,3,1,3,3,4,4,3,3,4,5,4,3,4,3.36,Neutral
20310,Male,26,5,5,5,5,3,5,4,1,3,1,1,1,5,5,3.50,Neutral
46896,Male,22,2,3,5,2,2,3,2,3,4,3,3,3,2,3,2.86,Neutral
7237,Female,53,5,3,1,1,1,4,4,1,3,1,1,2,3,2,2.29,Neutral
44293,Female,43,4,5,5,4,4,4,4,5,4,5,3,4,4,4,4.21,Satisfied
52496,Male,56,1,5,4,1,1,5,4,4,4,5,2,4,1,4,3.21,Neutral
68263,Female,69,2,3,1,5,5,5,5,4,2,1,3,5,3,5,3.50,Neutral
5289,Male,59,4,4,2,3,4,4,1,1,5,1,1,1,4,4,2.79,Neutral
109359,Female,56,3,4,4,5,5,2,2,5,2,3,5,2,5,2,3.50,Neutral
94988,Male,11,5,5,1,5,5,5,4,3,4,3,3,3,5,2,3.79,Neutral
53605,Female,25,3,4,5,3,3,4,3,3,1,4,4,4,4,1,3.29,Neutral
11005,Female,29,4,4,2,0,1,2,1,2,5,2,2,2,4,2,2.36,Neutral
14794,Female,48,3,2,1,3,3,5,5,1,5,2,1,5,5,5,3.29,Neutral
49480,Female,42,1,3,2,1,1,4,4,4,4,1,4,4,1,4,2.71,Neutral
120440,Male,15,1,1,4,4,2,5,1,4,3,3,3,3,1,5,2.86,Neutral
55823,Female,49,4,3,5,4,2,5,4,2,2,2,2,2,3,4,3.14,Neutral
107792,Male,41,2,5,5,2,2,4,4,4,4,5,5,4,2,4,3.71,Neutral
80531,Male,43,2,4,4,1,1,2,2,4,2,5,3,2,1,2,2.50,Neutral
128145,Male,60,2,3,5,5,5,5,5,5,5,3,4,5,5,5,4.43,Satisfied
63370,Female,42,4,3,2,1,3,1,3,3,4,2,3,3,4,3,2.79,Neutral
12452,Female,8,3,3,4,3,1,2,5,4,5,4,4,4,3,3,3.43,Neutral
16145,Female,42,3,3,5,3,3,5,5,5,5,2,5,5,5,5,4.21,Satisfied
44418,Male,18,1,1,1,1,3,4,2,3,1,3,3,3,1,3,2.14,Neutral
95746,Male,47,2,5,3,2,2,5,5,3,5,4,3,5,2,5,3.64,Neutral
41134,Female,27,4,4,2,4,4,3,2,5,1,5,5,5,4,3,3.64,Neutral
3214,Female,67,3,1,1,1,1,1,1,2,3,4,5,1,3,1,2.00,Neutral
74101,Male,38,5,5,3,5,3,4,5,2,5,2,2,2,5,5,3.79,Neutral
106220,Female,20,4,4,5,5,4,4,4,3,3,3,3,3,4,4,3.79,Neutral
88134,Female,60,1,4,3,2,2,5,5,4,4,3,4,5,2,5,3.50,Neutral
64475,Male,23,4,4,3,5,1,5,3,4,3,4,4,4,4,4,3.71,Neutral
123812,Male,25,3,3,4,5,1,5,4,2,2,2,2,2,3,4,3.00,Neutral
88893,Female,38,3,5,3,3,3,4,4,5,4,3,3,4,3,4,3.64,Neutral
31244,Female,40,1,1,5,1,1,5,5,5,5,5,3,5,1,5,3.43,Neutral
97762,Male,19,3,3,4,4,5,5,5,1,3,1,1,1,3,4,3.07,Neutral
59851,Female,61,3,5,4,3,3,4,4,4,4,5,4,4,3,4,3.86,Neutral
25137,Male,44,3,3,4,4,3,3,5,5,2,5,5,5,3,4,3.86,Neutral
18412,Female,22,3,3,3,5,1,5,4,3,5,3,3,3,3,5,3.50,Neutral
87192,Female,8,2,2,4,2,2,3,1,3,5,3,3,3,2,3,2.71,Neutral
127062,Female,45,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3.43,Neutral
112169,Male,46,4,4,3,5,1,3,2,1,1,1,1,1,4,5,2.57,Neutral
127798,Female,54,5,4,3,2,2,3,3,4,3,1,4,3,3,3,3.07,Neutral
91778,Male,62,1,1,2,1,2,3,1,1,4,1,1,1,2,3,1.71,Dissatisfied
42609,Female,25,5,2,1,5,5,2,5,2,1,2,2,2,5,3,3.00,Neutral
67482,Female,32,3,3,5,4,2,4,4,2,5,2,2,2,3,4,3.21,Neutral
91108,Female,65,4,4,4,4,2,1,1,4,4,5,4,1,4,1,3.07,Neutral
102318,Male,40,2,2,3,2,4,4,4,2,4,2,2,2,2,5,2.86,Neutral
51281,Female,30,0,0,4,0,5,3,4,2,1,2,2,2,0,5,2.14,Neutral
6528,Female,67,3,1,2,1,2,3,3,2,3,1,1,3,3,3,2.21,Neutral
121232,Male,51,5,5,3,5,5,5,5,5,5,3,2,5,5,5,4.50,Satisfied
72478,Female,47,4,4,4,5,5,5,5,5,5,3,5,5,5,5,4.64,Satisfied
122788,Female,38,4,1,3,4,4,3,2,1,3,1,1,1,1,3,2.29,Neutral
5528,Male,54,1,5,3,1,1,4,4,4,4,4,5,4,1,4,3.21,Neutral
107726,Female,57,0,2,5,5,5,3,1,3,0,3,3,1,1,1,2.36,Neutral
72606,Male,13,1,1,5,5,3,4,3,2,4,2,2,2,1,5,2.86,Neutral
75522,Female,20,4,4,4,0,3,4,3,4,5,4,4,4,4,5,3.71,Neutral
125687,Female,45,2,2,3,2,2,2,2,1,2,4,2,2,2,2,2.14,Neutral
79908,Female,51,2,4,3,2,2,3,3,5,3,3,3,3,2,3,2.93,Neutral
117345,Male,25,0,0,5,0,3,4,4,2,4,2,2,2,0,5,2.36,Neutral
73465,Female,39,2,1,5,4,3,5,2,5,4,5,2,5,1,4,3.43,Neutral
95851,Female,46,3,5,3,3,3,4,4,4,4,5,3,4,3,4,3.71,Neutral
44992,Male,53,3,1,4,3,3,3,1,1,2,1,1,1,1,4,2.07,Neutral
70631,Female,61,0,5,4,4,1,4,4,5,0,4,5,4,0,4,3.14,Neutral
13761,Female,61,5,3,3,5,5,4,4,2,4,5,3,4,4,4,3.93,Neutral
74968,Male,16,3,3,5,5,4,4,5,4,2,4,4,4,3,4,3.86,Neutral
12371,Female,44,1,3,3,1,1,2,2,3,2,1,2,2,2,2,1.93,Dissatisfied
8378,Female,17,5,5,1,5,5,3,1,5,3,5,5,5,5,5,4.14,Satisfied
82080,Female,50,2,2,1,2,2,2,2,3,2,1,4,2,2,2,2.07,Neutral
107972,Female,40,4,4,3,4,3,4,5,5,3,5,5,5,4,5,4.21,Satisfied
101228,Male,47,5,4,4,5,5,2,2,4,2,3,4,2,5,2,3.50,Neutral
85577,Female,80,1,4,5,1,1,4,4,4,4,4,2,4,1,4,3.07,Neutral
2717,Female,38,5,5,4,3,3,3,1,4,1,4,4,4,5,3,3.50,Neutral
88529,Male,31,5,5,4,1,3,4,4,3,2,3,3,3,5,4,3.50,Neutral
91613,Male,59,2,4,3,2,2,4,4,4,4,1,5,4,4,4,3.36,Neutral
88865,Female,22,4,4,4,4,4,3,1,4,2,4,4,4,4,4,3.57,Neutral
96960,Female,53,5,4,3,5,5,3,3,5,3,3,5,3,5,3,3.93,Neutral
51191,Female,56,2,3,5,2,2,4,4,4,4,2,5,4,4,4,3.50,Neutral
9461,Female,48,5,4,5,4,3,3,3,5,5,4,2,3,4,3,3.79,Neutral
66384,Male,38,3,3,3,3,5,5,5,2,2,2,2,2,3,4,3.14,Neutral
41934,Male,64,1,1,4,0,2,5,3,1,2,1,1,1,1,4,1.93,Dissatisfied
25381,Male,67,2,2,3,4,3,4,4,3,4,5,5,5,2,5,3.64,Neutral
14757,Female,62,4,4,1,2,2,4,4,2,4,2,3,4,2,4,3.00,Neutral
94013,Male,57,1,5,5,1,1,4,4,5,4,5,2,4,1,4,3.29,Neutral
80107,Female,27,1,2,1,1,3,1,1,1,5,1,1,1,2,3,1.71,Dissatisfied
23590,Female,25,1,1,1,1,3,4,1,5,4,5,5,5,1,4,2.93,Neutral
110384,Female,52,4,2,1,4,4,3,3,2,3,1,3,3,3,3,2.79,Neutral
15069,Female,45,2,1,5,2,2,4,4,3,4,2,3,4,4,4,3.14,Neutral
17128,Female,23,3,3,3,3,3,3,2,1,2,1,1,1,3,3,2.29,Neutral
54060,Male,55,2,5,2,2,2,5,4,5,3,5,5,5,5,5,3.93,Neutral
129240,Male,53,2,4,3,2,2,3,3,4,3,3,5,3,3,3,3.07,Neutral
97165,Female,9,4,4,4,4,3,4,5,1,4,1,1,1,4,4,3.14,Neutral
111696,Male,33,3,4,3,2,2,5,5,4,2,4,4,4,2,4,3.43,Neutral
1887,Male,64,3,3,4,3,3,4,4,3,4,3,3,3,3,4,3.36,Neutral
89086,Female,8,3,2,3,3,3,3,4,4,3,4,4,4,2,3,3.21,Neutral
35485,Male,34,4,4,3,4,1,5,3,3,2,3,3,3,4,5,3.36,Neutral
35719,Male,59,1,3,5,1,3,2,3,5,3,5,1,2,1,2,2.64,Neutral
85669,Female,13,3,3,3,1,3,4,4,3,3,3,3,3,3,3,3.00,Neutral
1137,Male,44,4,4,4,4,2,1,2,2,5,2,2,2,4,5,3.07,Neutral
8358,Male,54,1,4,4,1,1,4,4,5,4,3,4,4,1,4,3.14,Neutral
17217,Male,36,4,4,5,4,4,5,5,4,5,3,3,5,4,5,4.29,Satisfied
44847,Female,11,3,3,4,5,1,5,3,5,5,5,5,5,3,4,4.00,Satisfied
96673,Female,32,1,1,5,5,2,5,5,5,5,5,5,5,1,4,3.86,Neutral
80152,Male,42,3,1,1,3,3,3,5,1,2,1,1,3,1,4,2.29,Neutral
82277,Female,27,1,1,3,1,4,3,1,2,5,2,2,2,1,1,2.07,Neutral
123927,Male,33,2,2,2,4,3,3,4,3,1,3,3,3,2,5,2.86,Neutral
115766,Female,28,3,1,3,3,3,3,3,1,3,1,1,1,1,3,2.14,Neutral
21134,Male,44,0,0,5,5,1,4,3,2,4,2,2,2,4,5,2.79,Neutral
112062,Male,49,3,3,4,3,3,3,1,5,4,4,4,4,3,4,3.43,Neutral
28643,Male,59,2,5,4,3,2,5,5,2,5,4,3,5,2,5,3.71,Neutral
108010,Male,20,0,0,4,0,1,4,5,1,4,1,1,1,0,4,1.86,Dissatisfied
92145,Female,46,3,5,3,2,3,4,4,4,4,5,3,4,3,4,3.64,Neutral
115846,Male,36,5,5,1,5,5,3,1,5,5,5,5,5,5,3,4.14,Satisfied
99685,Female,62,2,4,4,2,2,4,4,4,4,5,5,4,2,4,3.57,Neutral
112072,Male,59,3,4,4,3,3,3,3,4,2,3,2,3,3,3,3.07,Neutral
119226,Female,29,3,3,2,4,4,2,5,3,4,3,3,3,3,4,3.29,Neutral
115925,Female,41,2,2,1,2,1,2,4,1,4,1,1,1,2,1,1.79,Dissatisfied
106552,Male,7,1,1,5,5,3,1,4,4,1,4,4,4,1,4,3.00,Neutral
25126,Female,65,3,4,4,5,2,3,3,4,3,5,4,3,3,3,3.50,Neutral
33426,Male,50,2,4,4,2,2,2,4,4,4,4,5,2,2,2,3.07,Neutral
125844,Female,20,3,2,1,3,3,3,3,4,5,2,2,2,2,4,2.79,Neutral
70328,Female,58,3,4,4,3,3,5,5,4,5,3,4,5,3,5,4.00,Satisfied
88847,Female,45,2,1,4,5,2,4,2,1,2,3,4,2,2,2,2.57,Neutral
108398,Male,46,1,1,4,5,3,5,3,5,2,5,5,5,1,5,3.57,Neutral
97316,Female,43,3,4,4,3,3,5,5,5,5,3,4,5,3,5,4.07,Satisfied
124811,Male,26,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2.14,Neutral
23012,Male,41,1,5,5,1,1,3,3,5,4,5,5,5,5,5,3.79,Neutral
18088,Female,50,3,4,5,5,1,5,5,5,3,3,3,5,3,5,3.93,Neutral
37982,Male,38,3,3,5,4,1,5,5,4,3,5,4,5,3,5,3.93,Neutral
31332,Female,38,1,1,5,1,2,4,4,3,1,3,3,3,1,3,2.50,Neutral
97455,Female,55,2,5,4,2,2,3,3,4,3,4,2,3,2,3,3.00,Neutral
28901,Female,49,1,5,2,1,1,4,4,4,4,1,2,4,1,4,2.71,Neutral
107606,Male,33,4,4,5,4,3,4,3,4,2,4,4,4,4,5,3.86,Neutral
53258,Female,57,4,5,5,4,4,4,3,5,4,5,5,3,4,4,4.21,Satisfied
14292,Female,35,3,2,4,3,3,5,5,3,5,4,3,5,3,5,3.79,Neutral
68232,Female,40,5,5,3,5,5,4,4,5,4,3,3,4,5,4,4.21,Satisfied
51224,Female,37,4,4,1,4,4,1,4,3,4,3,3,3,4,1,3.07,Neutral
121386,Female,52,2,4,2,5,3,5,3,2,4,2,2,5,2,4,3.21,Neutral
31668,Male,41,2,2,3,2,2,2,3,2,5,2,2,2,2,3,2.43,Neutral
24628,Female,14,3,1,1,3,2,5,2,1,1,1,3,4,3,4,2.43,Neutral
95876,Female,32,2,4,4,2,2,4,3,5,5,5,5,5,2,4,3.71,Neutral
62793,Male,11,2,1,1,4,3,5,2,1,4,1,2,3,2,4,2.50,Neutral
83516,Male,12,1,1,2,3,5,2,1,2,3,2,2,2,1,3,2.14,Neutral
13221,Male,41,3,4,4,3,3,4,2,4,1,4,4,4,4,3,3.36,Neutral
100404,Female,45,2,3,4,2,5,4,4,4,3,4,4,4,3,5,3.64,Neutral
121453,Male,21,2,2,4,0,4,1,1,1,5,5,5,5,2,5,3.00,Neutral
21454,Female,31,3,2,1,3,3,3,3,2,3,2,2,2,2,3,2.43,Neutral
15937,Male,38,2,4,4,3,3,4,5,4,5,4,4,4,4,5,3.93,Neutral
70105,Male,40,4,5,4,4,4,5,5,5,5,5,3,5,4,5,4.50,Satisfied
47540,Male,13,5,5,4,4,2,4,4,5,4,5,5,5,5,4,4.36,Satisfied
57561,Female,44,2,4,5,2,2,2,2,4,2,4,3,2,2,2,2.71,Neutral
124103,Female,66,4,4,2,5,5,3,3,4,3,4,5,3,3,3,3.64,Neutral
125736,Female,30,5,5,2,5,5,1,3,5,2,5,5,5,5,3,4.00,Satisfied
93362,Male,44,3,3,3,1,3,4,1,4,1,4,4,4,3,3,2.93,Neutral
95429,Female,53,0,5,5,5,4,3,3,4,3,5,4,3,0,3,3.36,Neutral
106943,Female,37,4,4,3,2,2,5,5,4,5,5,4,5,2,5,3.93,Neutral
100691,Female,39,2,2,3,5,3,4,3,3,3,3,3,3,2,4,3.07,Neutral
119948,Male,29,2,2,5,2,4,4,3,3,5,3,3,3,2,4,3.21,Neutral
15778,Male,38,5,4,4,5,5,4,3,4,4,4,4,4,4,3,4.07,Satisfied
68342,Male,59,3,3,3,3,3,5,5,4,5,5,4,5,3,5,4.00,Satisfied
24665,Male,19,1,1,3,0,3,4,3,4,4,4,4,4,1,5,2.93,Neutral
81029,Female,39,2,4,3,4,4,5,5,5,5,5,4,5,4,5,4.29,Satisfied
